Eselborn, Op der San
Aubange, Ecole      
Centre, Martyrs     
Oberanven, rue d'Ern
Yutz, Arc en Ciel   
Consthum, Knupp     
Nennig, R mische Vil
G. Pr izerdaul, Hora
Bettembourg, Cactus 
Hellange, Beteburger
Piennes, Place      
Lasauvage, Kajibi   
Herserange, St. Eloi
Belvaux, Lyc e Bel-V
Bockholtz/Wiltz     
Neiduerf, Brasserie 
Kirchberg, Mathias T
Flaxweiler, Bei Knup
Clervaux, Police    
Wormeldange, Kellere
Wiltz, Follmillen   
Merl, Marcel Cahen  
Heisdorf, Millewee  
Saeul, Beim Sand    
Diekirch, Gare      
P tange, Millen     
Consdorf, Gare      
Neudorf, Fixmer     
Mondercange, Police 
Longlaville, Maison 
Stadtbredimus, Vinsm
Schengen, Ennen am D
Hosingen, Bei der Ki
Bettange, K scht    
Rosport, Rue Neuve  
Bergem, Centre      
Niederdonven, Bei de
Bourscheid, An der S
Limpertsberg, Guilla
Irrel ZOB           
Boevange, L tschert 
Kapweiler, Kapell   
Filsdorf, Op der Pla
Grass, Um Camping   
Strassen, Cit  Pesch
Hoesdorf, Kranzenhaf
Bonnevoie, Carignan 
Weilerbach          
Windhof, Ecoparc    
Wardin,  cole       
Osweiler, Haaptstroo
Hosingen, Parc House
Grevenmacher, Tanneu
Audun-le-Tiche, Plac
Gilsdorf, Op der Bel
Rodange, Gare       
Elvange/Mondorf, Kal
Pontpierre, Pafenhec
Centre, Badanstalt  
Weimerskirch, Bieche
Junglinster, Gemeng 
Limpertsberg, L andr
Bertrange, Gemeng   
Bruxelles, Schuman  
Luxembourg, Chingiz 
Dudelange, Riedgen 1
Strassen, Primeurs  
Weimershof, Bleuets 
Arsdorf, Am Duerf   
Temmels, Kirchstrass
Esch/Alzette, Bruchs
Rollingergrund, Val 
Gouvy, Gare         
Neudorf, Kierch     
Schifflange, Cit  Be
Bour                
Dudelange, Gemeng   
Goesdorf, Maeschgaar
Mondercange, Kierfec
Weiswampach, Post   
Bonnevoie, Gabriel L
Neudorf, Huesegr ndc
Pfaffenthal, Stade G
Centre, Kasinosgaass
Mt.St.Martin, Douane
Esch/Alzette, Passer
Borg, Ortsmitte     
Merl, Plaak         
Grosbous, Police    
Hivange, Areler Stro
Hautbellain         
Cents, Waassertuerm 
P tange, Kr izheck  
Larochette, Bleech  
Weiswampach, Ennisch
Differdange, Centre 
Bivange, Schoul     
Ehnen, Lehboesch    
Mt.St.Martin, R sist
Bollendorf, Gare    
Kuelbecherhaff      
Dudelange, Rue Paste
Beckerich, Bei Schma
Cessange, Am Eck    
Hierber Millen      
Born, P tzwee       
Troisvierges, Tomm  
Strassen, Bourmicht 
Kayl, Sportshal     
Pommerlach, Theis   
Dudelange, Schlacken
Junglinster, P+R    
Saarbr cken Hbf     
Wiltz, Batzendelt   
Diekirch, Place des 
HOWALD, Bei der Kier
Cessange, Kuelebierg
Hellange, Ho ner Hal
Dalheim, Waasserklap
Gonderange, Mierchen
Bonnevoie, L on XIII
Schinker, Um Rank   
Wardin, rue de Wiltz
Esch/Alzette, Raemer
Drauffelt, Park & Ra
Limpertsberg, Waasse
P tange, Maartplaz  
Vianden, Larei      
Kirchberg, Poutty St
Roodt/Bour, Br ck   
Belair, Aub pines   
Septfontaines, Schou
Verlorenkost, Al Mol
Beaufort, Op der Gar
Alzingen, Trapeneck 
Howald, Rangwee     
Emeringerhaff       
Gasperich, Bei der A
Longlaville, Rue des
Dudelange, Breininge
Kirchberg, Rehazente
Igel                
Troine-Route, Route 
Wahlhausen, Burebier
Troisvierges, Mairie
Belair, Val Ste Croi
Dudelange, Soibelkau
Weidig              
Mensdorf, Ennen am D
Steinsel, Gonneschha
Rollingergrund, Bei 
Kalchesbr ck, Reno  
Schouweiler, Belair 
Niederanven, Routsch
Roullingen, R imerwe
Gr mmelscheid, Hoboe
Asselborn, Pickes   
L velange, Kapell   
Diekirch, Fielserstr
Vianden, Camping Mou
Longwy, St. Louis   
Hollerich, Schluecht
Centre, Al Avenue/A-
Roedgen, Laangwis   
Dudelange, Gare     
Schweich, Peiffer   
Gosseldange, Op der 
Houschterhaff       
Pissange, W schbur  
Frassem, Carrefour  
Elange, Cin ma      
Hesperange, Am Kelle
Wiltz, Schumann     
Mondercange, Kazebac
Brouch/Wecker, Gaerl
Warken, Rue de Welsc
Linger, Velo's Piste
Oberleuken, Ortsmitt
Esch/Alzette, Grand-
Hersberg/Heeschbreg 
Rodange, Schwemm    
Nachtmanderscheid, P
Kayl, Am Pull       
Dudelange, Greisenda
Dudelange, Spidol   
Lultzhausen, Bif.Lul
Abweiler, Cit       
Beggen, Kierch      
Wormeldange, Erdkaul
Schandel, Kiirch    
Bascharage, R.P. And
Dahl, Masselerstroos
Rollingen, Ver insba
Bras, Carrefour     
Ettelbruck, Pensionn
T tange, Kierfecht  
Leudelange, Ketzelac
Mt.St.Martin, Centre
Mexy, Ecole         
Reckange/Mersch, Bei
Hamiville, Maison 3 
Ettelbruck, Gare    
Troisvierges, Paster
Villerupt, Saint Nic
Nachtmanderscheid, K
R dange, rue de Belv
Ernster, Duerfplaz  
Esch/Alzette, Lyc e 
Leudelange, Op der S
Hamiville, Maison 31
Niederfeulen, Belle 
Maizieres-les-Metz  
Hautcharage, Op der 
Bigonville, Kimm    
Hoffelt, Kiirch     
Soleuvre, Collectric
Neuhaeusgen, Iewesch
Openthalt, Finsterth
Elvange/Mondorf, Vil
Dommeldange, Ch teau
Landres, Intermarch 
Hussigny, Place de l
Kirchberg, Alphonse 
Audun-le-Tiche, Mair
Bonnevoie, Jules Fis
M llendorf/M lleref 
Kirchberg, H pital  
Gonderange, Am Duerf
Kirchberg, Pierre We
Hassel, Dielchen    
Perl, Schampaul     
Helsem, Mercatoris  
Bourscheid, Millen  
Heinerscheid, Gem in
Ciney, Gare         
Junglinster, Rue de 
Reisdorf, Duddwee   
Wiltz, Bastnacherstr
Jemelle             
Centre, Monterey Par
Bollendorf, Pont    
Dudelange, Schoul Ri
Kounenhaff          
Strassen, Chapelle  
Findel, Business Cen
Fennange, Am Duerf  
Bous, Kierch        
Clemency, Breedewee 
Pontpierre, Pompjees
Fond de Gras        
Dudelange, rue Aloys
Neudorf/Weimershof, 
Erpeldange/Bous, Kr 
Longwy, Saintignon P
Echternach, Ste Croi
Septfontaines, Simme
Mamer, Gare         
Belair, Guillaume   
Bonnevoie, Willibror
Weicherdange, Kierch
Nospelt, Kr izhiel  
Bertrange, Dicks    
Kirchberg, Antoine d
Holtz, Molkerei     
Holler              
Junglinster, Um Reil
Fischbach/Mersch, Kr
Goebelsm hle, Gare  
Bonnevoie, Virchow  
Niederfeulen, route 
Trier, S d          
Huncherange, R. R si
Brandenbourg, Verein
Wiltz, Lann         
Bastogne, Place Merc
Bettange, Bei der Ba
Boevange, Beim Wald 
Steinfort, Schoul   
Clervaux, Gare/Lyc e
Hautcharage, Cr che 
Marvie, rue de Wiltz
Eischen, Denn       
R dange, Douane     
Olingen, Am K isbier
Esch/Alzette, Tramsc
Machtum, Gellebur   
Dudelange, Rue Ribes
Arzfeld, Abzw. Faule
Kirchberg, Coudenhov
Piennes, Zone d'acti
Metz-Ville          
Belvaux, Belval Ly  
Burmerange, R sidenc
Lenningen, Kaul     
Weiswampach, Beelers
Givenich, Am Duerf  
Blaschette, Op der K
Bivels, Kierch      
Esch/Alzette, Rue A.
Asselborn, Scierie  
Troisvierges, Milleb
Marvie, Grand Route 
Hautcharage, Scheedw
Lamadelaine, Rte de 
Bigonville, Am Duerf
Limpertsberg, Alen T
Bergem, Am Haff     
Schifflange, Ecole N
Weiswampach, I wwisc
Rumelange, Maartplaz
Limpertsberg, Alen E
Thionville, Esch    
Mondercange, Cit  St
Vianden, Scheierhaff
Dommeldange, Sidney 
Diekirch, Altersheem
Walsdorf, An der Gaa
Kockelscheuer, Campi
Merl, Geessekn ppche
Schandel, Viichtener
Mondorf, Casino 2000
Esch/Alzette, Porte 
Cents, K ibierg-I.N.
Dommeldange, Van der
Bilzingen Ort, Winch
Leudelange, Galgeb s
Folschette, Bellevue
Schieren, Neie Wee  
Bitburg, Masholder B
Bonnevoie, Wisestroo
Hamilius            
Marbehan, Gare      
Moutfort, Syrbr ck  
Clervaux, Klatzewee 
Bilsdorf, Am Duerf  
Machtum, Ongkaf     
P tange, Maison des 
Hivange, Kleng B iw 
Belair, Amsterdam   
Dorscheid, Leemkaul 
Wecker, An der Schm 
Wincheringen, Moselb
Berbourg, Schoulstro
Fentange, Op de Leem
Ehnen, An den Aessen
Esch/Alzette,  Barbo
Mettlach, Park      
Steinsel, Zone Indus
Dudelange, Rue du Pa
Hesperange, Wollefsm
Ehnen, Bromelt      
Limpertsberg, Lyc e 
Mamer, Lycee (gare r
Kirchberg, Luxexpo (
Limpertsberg, Lef vr
Lintgen, An der Kl c
Remich, Op der Kopp 
Roder (Ruadder)     
Mertzig, Butzebierg 
Contern, Rond Point 
Audun-le-Tiche, Gare
Fingig, Dillesbierg 
Landscheid, Kiirch  
Trier, Hauptbahnhof 
Mersch, Gare        
Perl, Schengen Lyzeu
Clausen, Tour Jacob 
Rumelange, Laangegro
Kirchberg, L on Heng
Limpertsberg, Jean S
Schieren, Vali's Pla
Howald, Bei der Kier
Senningen, Kierch   
Wincrange, Op der Lo
Echternach, Charly's
Longwy, Bas/Espace B
Beaufort, Ennescht H
Drauffelt, Op der L 
Soleuvre, Emile Mayr
Kockelscheuer, Poudr
Vianden, Aale Moart 
Bissen, ArcelorMitta
Wilwerdange, Schoul 
Dudelange, Scherr   
Eich, Eecher Plaz   
Bereldange, Elterstr
Oberwampach, Belzen 
Luxembourg, rue Hein
Dudelange, rue Ribes
Mt.St.Martin, Notre 
Echternach, Belle Vu
Gosseldange, Kapell 
Calmus, Titzebierg  
Kayl, Gare          
Schengen, Arr t de r
Soleuvre, Jugendhaus
Arlon, Square Astrid
Neuhaeusgen, Kiischt
Bertrange, Millewee 
Niederkorn, CHEM 2  
Pfaffenthal, Th iwes
Dudelange, Lyc e Nic
Schoenfels, Duerf   
Sandweiler, Rue d'Oe
Nommern, Griechten  
Dalheim, Hossegaass 
Trier, Pacelliufer  
Merl, Laang Heck    
Sanem, W.S.A.       
Arzfeld, Wartehalle 
Troine, Br ck       
Sandweiler, Kontroll
Merkholtz, Gare     
Meispelt, Bei M lles
Erpeldange/S re, Bei
Eischen, rue de Hobs
Boevange            
Thionville, Arlon   
Wasserbillig, Gare  
Boufer, Maison de Re
Weilerbach, Laufenwe
Bigonville, Huelgaas
Surr , Bei der Br ck
Dipp cherbierg      
Heffingen, Thommes  
Reckenthal, G ertner
Gonderange, Schoul  
Mondercange, A Bosse
Burmerange, Um Schot
Marnach, Dosberstroo
Hosingen, Ewescht Du
Frisange, Cit  Aalue
Magaret,  cole      
F itsch             
Mamer, Baerendall   
Liers               
Moersdorf, Olek     
Leudelange, Bowent  
Longlaville, Mairie 
Daleiden, Kirche    
Dudelange, Rue Fany 
Lorentzweiler, Beim 
Bascharage, Pierre C
Niederfeulen, Mairie
Capellen, Klouschter
Harlange, Br ck     
Cessange, Kierch    
Trier, Theodor-Heuss
Hollerich, P+R Bouil
T tange, Br ck      
Hautcharage, Um Kl p
Huncherange, Kiirch 
Ettelbruck, Serv Ind
Dippach, Bei der Kap
Muhlenbach, Eecher S
Dasburg, Abzw. Preis
Junglinster, Lyc e  
Ehner, Kapell       
Marnach, Schwaarzenh
Bissen, Kiirch      
Tarchamps, Kierch   
Mondercange, Pafenhe
Bech, Bei der Gemeng
Soleuvre, Um Bur    
Belair, Bragance    
Mexy, La Grotte     
Gonderange, Eesch le
Grundhof, Grondhaff 
Fentange, Fuertwee  
Senningerberg, Lou H
Ehlerange, Keupewee 
Dudelange, Rue des M
Dudelange, Rue des L
Roeser, Op der Hoehl
Gosseldange, Vor Bel
Dudelange, Rue des B
